Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Investments;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
AEL;6767439;USD;2021;FY;2021-12-31;2022-03-01;2023-02-28;93860000;94491000;473992000;5527000;1036543000;4233164000;;-4715997000;-6224307000;-75125000;;-94561000;-2595397000;;-4586540000
AEL;6767439;USD;2022;FY;2022-12-31;2023-02-28;2023-02-28;93860000;94491000;1221302000;14185000;565674000;2044181000;;796581000;-2454911000;-74242000;296250000;-312589000;-2178583000;;-2589313000
AFG;485236;USD;2020;FY;2020-12-31;2021-02-25;2023-02-24;88700000;89200000;721000000;299000000;745000000;2183000000;-60000000;616000000;-1564000000;-334000000;484000000;-291000000;-123000000;;496000000
AFG;485236;USD;2021;FY;2021-12-31;2022-02-25;2024-02-23;84800000;85200000;1995000000;187000000;-857000000;1714000000;-62000000;244000000;-436000000;-2374000000;;-253000000;-1957000000;;-679000000
AFG;485236;USD;2022;FY;2022-12-31;2023-02-24;2025-02-25;86345246;89200000;898000000;100000000;108000000;1153000000;-86000000;829000000;-1051000000;-1213000000;-477000000;5000000;-1361000000;;-1259000000
AFG;485236;USD;2023;FY;2023-12-31;2024-02-23;2026-02-25;84700000;84800000;852000000;78000000;33000000;1970000000;-72000000;2279000000;414000000;-684000000;-21000000;-198000000;-2031000000;;353000000
AFG;485236;USD;2024;FY;2024-12-31;2025-02-25;2026-02-25;83900000;83900000;887000000;81000000;-26000000;1152000000;-133000000;2489000000;95000000;-788000000;;17000000;-1066000000;;181000000
AFL;62581;USD;2020;FY;2020-12-31;2021-02-23;2023-02-24;713702000;716192000;4778000000;;518000000;5958000000;;-1307000000;-4619000000;-769000000;1195000000;-1503000000;-1115000000;21000000;245000000
AFL;62581;USD;2021;FY;2021-12-31;2022-02-23;2024-02-22;659100000;662512000;4231000000;;-122000000;5051000000;;-1880000000;-2378000000;-855000000;453000000;-2275000000;-2739000000;-24000000;-90000000
AFL;62581;USD;2022;FY;2022-12-31;2023-02-24;2025-02-26;673617000;676729000;4418000000;;-761000000;3879000000;;1016000000;-1540000000;-979000000;-139000000;-2384000000;-3551000000;104000000;-1108000000
AFL;62581;USD;2023;FY;2023-12-31;2024-02-22;2026-02-25;596173000;598745000;4659000000;;-993000000;3190000000;;1060000000;817000000;-966000000;204000000;-2784000000;-3723000000;79000000;363000000
AFL;62581;USD;2024;FY;2024-12-31;2025-02-26;2026-02-25;562492000;565015000;5443000000;;-1425000000;2707000000;;2037000000;2781000000;-1087000000;629000000;-2786000000;-3486000000;-79000000;1923000000
AGO;601095;USD;2020;FY;2020-12-31;2021-02-26;2023-03-01;85500000;86200000;368000000;;1000000;101000000;;-2206000000;-166000000;-69000000;663000000;-446000000;183000000;-3000000;115000000
AGO;601095;USD;2021;FY;2021-12-31;2022-02-25;2024-02-28;67518424;74300000;419000000;;127000000;538000000;;-3602000000;-2452000000;-66000000;2469000000;-496000000;1960000000;-2000000;44000000
AGO;601095;USD;2022;FY;2022-12-31;2023-03-01;2026-02-27;62900000;63900000;761000000;;-422000000;85000000;;-82000000;662000000;-67000000;-300000000;-199000000;-670000000;2000000;79000000
AGO;601095;USD;2023;FY;2023-12-31;2024-02-28;2025-02-28;58400000;59600000;761000000;;-310000000;85000000;;-82000000;662000000;-67000000;-305000000;-199000000;-670000000;2000000;79000000
AGO;601095;USD;2024;FY;2024-12-31;2025-02-28;2026-02-27;53300000;54300000;392000000;;-194000000;99000000;;-1156000000;728000000;-68000000;-375000000;-502000000;-983000000;-2000000;-158000000
