ticker,revenue_usd,employees,sector,industry,market_cap,fetch_error
MAA,2218780928,2507,Real Estate,REIT - Residential,14845492224,
MRNA,2228000000,4700,Healthcare,Biotechnology,57477992448,
TAP,11083499520,16200,Consumer Defensive,Beverages - Brewers,7258651648,
MDLZ,39674998784,91000,Consumer Defensive,Confectioners,79692677120,
MPWR,3273157888,4501,Technology,Semiconductors,60665065472,
MNST,9218957312,5773,Consumer Defensive,Beverages - Non-Alcoholic,85022851072,
MCO,8160000000,16000,Financial Services,Financial Data & Stock Exchanges,82252316672,
MS,77827997696,83000,Financial Services,Capital Markets,336698015744,
MOS,12247900160,13000,Basic Materials,Agricultural Inputs,8007791616,
MSI,12236999680,23000,Technology,Communication Equipment,77146587136,
MSCI,3333758976,6327,Financial Services,Financial Data & Stock Exchanges,40320147456,
NDAQ,5614000128,9630,Financial Services,Financial Data & Stock Exchanges,50973147136,
NTAP,7391000064,11700,Technology,Software - Infrastructure,39142379520,
NFLX,48370765824,16000,Communication Services,Entertainment,322288943104,
NEM,25767000064,17500,Basic Materials,Gold,133618712576,
NWSA,9027999744,21700,Communication Services,Entertainment,15790737408,
NWS,9027999744,21700,Communication Services,Entertainment,17544667136,
NEE,28700000256,17400,Utilities,Utilities - Regulated Electric,171696865280,
NKE,46398001152,73000,Consumer Cyclical,Footwear & Accessories,54592753664,
NI,6881500160,7668,Utilities,Utilities - Regulated Gas,19858583552,
NDSN,2979794944,8200,Industrials,Specialty Industrial Machinery,17515780096,
NSC,12540000256,19300,Industrials,Railroads,71935320064,
NTRS,9085500416,23600,Financial Services,Asset Management,34613379072,
NOC,42892001280,95000,Industrials,Aerospace & Defense,73726443520,
NCLH,10154306560,44500,Consumer Cyclical,Travel Services,6805163520,
NRG,33124999168,16702,Utilities,Utilities - Independent Power Producers,23850481664,
NUE,36101001216,33000,Basic Materials,Steel,58858356736,
NVDA,302970011648,42000,Technology,Semiconductors,5271048421376,
NVR,9631335424,6300,Consumer Cyclical,Residential Construction,16499457024,
NXPI,13185000448,32169,Technology,Semiconductors,59667087360,
ORLY,18572562432,95822,Consumer Cyclical,Auto Parts,69425012736,
OXY,23925999616,10412,Energy,Oil & Gas E&P,61437710336,
ODFL,5602506752,20173,Industrials,Trucking,37390618624,
OMC,22371299328,120000,Communication Services,Advertising Agencies,21676075008,
ON,6197799936,22600,Technology,Semiconductors,29642719232,
OKE,39366000640,6326,Energy,Oil & Gas Midstream,60906319872,
ORCL,71776002048,141000,Technology,Software - Infrastructure,432877174784,
OTIS,14910999552,72000,Industrials,Specialty Industrial Machinery,26304251904,
PCAR,27815800832,25900,Industrials,Farm & Heavy Construction Machinery,64600772608,
PKG,9534600192,16800,Consumer Cyclical,Packaging & Containers,20884639744,
PLTR,6155940864,4401,Technology,Software - Infrastructure,401863442432,
PANW,11480000512,21921,Technology,Software - Infrastructure,270471692288,
PSKY,29109999616,17600,Communication Services,Entertainment,11892625408,
PH,21499000832,59850,Industrials,Specialty Industrial Machinery,119774085120,
PAYX,3968000000,17600,Technology,Software - Application,41222541312,
PYPL,34127998976,23800,Financial Services,Credit Services,45955358720,
PNR,4011800064,9000,Industrials,Specialty Industrial Machinery,9030168576,
PEP,96904003584,306000,Consumer Defensive,Beverages - Non-Alcoholic,186213122048,
PFE,63695998976,75000,Healthcare,Drug Manufacturers - General,157994942464,
PCG,25837000704,29010,Utilities,Utilities - Regulated Electric,30392664064,
PM,42545000448,84900,Consumer Defensive,Tobacco,297788669952,
PSX,152167006208,12600,Energy,Oil & Gas Refining & Marketing,104030609408,
PNW,5554253824,6610,Utilities,Utilities - Regulated Electric,11647053824,
PNC,24319000576,55704,Financial Services,Banks - Regional,97438007296,
PPG,16421000192,43500,Basic Materials,Specialty Chemicals,23452649472,
PPL,9397999616,6546,Utilities,Utilities - Regulated Electric,25646729216,
PFG,15693200384,19700,Financial Services,Asset Management,24871464960,
PG,87031996416,104000,Consumer Defensive,Household & Personal Products,337414619136,
PGR,91019001856,70053,Financial Services,Insurance - Property & Casualty,126458986496,
PLD,9657474048,2802,Real Estate,REIT - Industrial,131961405440,
PRU,65223999488,36607,Financial Services,Insurance - Life,41137799168,
PEG,12542999552,13189,Utilities,Utilities - Regulated Electric,36080627712,
PTC,2953971968,7000,Technology,Software - Application,14190448640,
PSA,4910444032,5770,Real Estate,REIT - Industrial,55401701376,
PHM,16407075840,6506,Consumer Cyclical,Residential Construction,22526916608,
PWR,32905140224,69500,Industrials,Engineering & Construction,97810407424,
QCOM,44068999168,52000,Technology,Semiconductors,194354970624,
DGX,11559999488,46000,Healthcare,Diagnostics & Research,25939947520,
Q,5209999872,10000,Technology,Semiconductor Equipment & Materials,26443960320,
RL,8355200000,15600,Consumer Cyclical,Apparel Manufacturing,20203741184,
RJF,15239999488,19500,Financial Services,Asset Management,33321666560,
RDDT,2778833920,2555,Communication Services,Internet Content & Information,30354399232,
RTX,93499998208,180000,Industrials,Aerospace & Defense,266424811520,
O,6065508864,544,Real Estate,REIT - Retail,56299974656,
REG,1685532032,503,Real Estate,REIT - Retail,13950861312,
REGN,15534699520,15410,Healthcare,Biotechnology,80458293248,
RF,7238000128,20003,Financial Services,Banks - Regional,25668636672,
RSG,16890999808,42000,Industrials,Waste Management,68205883392,
RMD,5653443072,11370,Healthcare,Medical Instruments & Supplies,31485952000,
RVTY,2911811072,11000,Healthcare,Diagnostics & Research,13871304704,
HOOD,4931999744,2900,Financial Services,Capital Markets,101209694208,
ROK,8972999680,26000,Industrials,Specialty Industrial Machinery,47668649984,
ROL,3924018944,22000,Consumer Cyclical,Personal Services,16710179840,
ROP,8280300032,19400,Technology,Software - Application,38424965120,
ROST,24511797248,111000,Consumer Cyclical,Apparel Retail,74017030144,
RCL,18681999360,107950,Consumer Cyclical,Travel Services,69574991872,
SPGI,16122000384,44500,Financial Services,Financial Data & Stock Exchanges,121077309440,
CRM,43938000896,83334,Technology,Software - Application,203873566720,
SNDK,20248000512,11100,Technology,Computer Hardware,239153479680,
SBAC,2870621952,1844,Real Estate,REIT - Specialty,19676162048,
SLB,36366000128,109000,Energy,Oil & Gas Equipment & Services,83201073152,
STX,12195000320,30000,Technology,Computer Hardware,188774842368,
